metric,plugin
pkts_in,ganglia_pub
pkts_out,ganglia_pub
proc_run,ganglia_pub
proc_total,ganglia_pub
swap_free,ganglia_pub
swap_total,ganglia_pub
0_0,ipmi_pub
ambient,ipmi_pub
dimm0_temp,ipmi_pub
dimm10_temp,ipmi_pub
dimm11_temp,ipmi_pub
dimm12_temp,ipmi_pub
dimm13_temp,ipmi_pub
dimm14_temp,ipmi_pub
dimm15_temp,ipmi_pub
dimm1_temp,ipmi_pub
dimm2_temp,ipmi_pub
dimm3_temp,ipmi_pub
dimm4_temp,ipmi_pub
dimm5_temp,ipmi_pub
dimm6_temp,ipmi_pub
dimm7_temp,ipmi_pub
dimm8_temp,ipmi_pub
dimm9_temp,ipmi_pub
fan0_0,ipmi_pub
fan0_1,ipmi_pub
fan1_0,ipmi_pub
fan1_1,ipmi_pub
fan2_0,ipmi_pub
fan2_1,ipmi_pub
fan3_0,ipmi_pub
fan3_1,ipmi_pub
fan_disk_power,ipmi_pub
gpu0_core_temp,ipmi_pub
gpu0_mem_temp,ipmi_pub
gpu1_core_temp,ipmi_pub
gpu1_mem_temp,ipmi_pub
gpu3_core_temp,ipmi_pub
gpu3_mem_temp,ipmi_pub
gpu4_core_temp,ipmi_pub
gpu4_mem_temp,ipmi_pub
gv100card0,ipmi_pub
gv100card1,ipmi_pub
gv100card3,ipmi_pub
gv100card4,ipmi_pub
p0_core0_temp,ipmi_pub
p0_core10_temp,ipmi_pub
p0_core11_temp,ipmi_pub
p0_core12_temp,ipmi_pub
p0_core13_temp,ipmi_pub
p0_core14_temp,ipmi_pub
p0_core15_temp,ipmi_pub
p0_core16_temp,ipmi_pub
p0_core17_temp,ipmi_pub
p0_core18_temp,ipmi_pub
p0_core19_temp,ipmi_pub
p0_core1_temp,ipmi_pub
p0_core20_temp,ipmi_pub
p0_core21_temp,ipmi_pub
p0_core22_temp,ipmi_pub
p0_core23_temp,ipmi_pub
p0_core2_temp,ipmi_pub
p0_core3_temp,ipmi_pub
p0_core4_temp,ipmi_pub
p0_core5_temp,ipmi_pub
p0_core6_temp,ipmi_pub
p0_core7_temp,ipmi_pub
p0_core8_temp,ipmi_pub
p0_core9_temp,ipmi_pub
p0_io_power,ipmi_pub
p0_mem_power,ipmi_pub
p0_power,ipmi_pub
p0_vdd_temp,ipmi_pub
p1_core0_temp,ipmi_pub
p1_core10_temp,ipmi_pub
p1_core11_temp,ipmi_pub
p1_core12_temp,ipmi_pub
p1_core13_temp,ipmi_pub
p1_core14_temp,ipmi_pub
p1_core15_temp,ipmi_pub
p1_core16_temp,ipmi_pub
p1_core17_temp,ipmi_pub
p1_core18_temp,ipmi_pub
p1_core19_temp,ipmi_pub
p1_core1_temp,ipmi_pub
p1_core20_temp,ipmi_pub
p1_core21_temp,ipmi_pub
p1_core22_temp,ipmi_pub
p1_core23_temp,ipmi_pub
p1_core2_temp,ipmi_pub
p1_core3_temp,ipmi_pub
p1_core4_temp,ipmi_pub
p1_core5_temp,ipmi_pub
p1_core6_temp,ipmi_pub
p1_core7_temp,ipmi_pub
p1_core8_temp,ipmi_pub
p1_core9_temp,ipmi_pub
p1_io_power,ipmi_pub
p1_mem_power,ipmi_pub
p1_power,ipmi_pub
p1_vdd_temp,ipmi_pub
pcie,ipmi_pub
ps0_input_power,ipmi_pub
ps0_input_voltag,ipmi_pub
ps0_output_curre,ipmi_pub
ps0_output_volta,ipmi_pub
ps1_input_power,ipmi_pub
ps1_input_voltag,ipmi_pub
ps1_output_curre,ipmi_pub
ps1_output_volta,ipmi_pub
total_power,ipmi_pub
hostscheduleddowtimecomments,nagios_pub
plugin_output,nagios_pub
state,nagios_pub
Actual_Return_Air_Temperature_Set_Point,vertiv_pub
Actual_Return_Humidity_Set_Point,vertiv_pub
Adjusted_Humidity,vertiv_pub
Compressor_Utilization,vertiv_pub
Dehumidifier_Utilization,vertiv_pub
Ext_Air_Sensor_A_Humidity,vertiv_pub
Ext_Air_Sensor_A_Temperature,vertiv_pub
Ext_Air_Sensor_B_Humidity,vertiv_pub
Ext_Air_Sensor_B_Temperature,vertiv_pub
Ext_Air_Sensor_C_Humidity,vertiv_pub
Ext_Air_Sensor_C_Temperature,vertiv_pub
Fan_Speed,vertiv_pub
Filter_Pressure_Drop,vertiv_pub
Free_Cooling_Fluid_Temperature,vertiv_pub
Free_Cooling_Status,vertiv_pub
Free_Cooling_Valve_Open_Position,vertiv_pub
Hot_Water___Hot_Gas_Valve_Open_Position,vertiv_pub
Humidifier_Utilization,vertiv_pub
Humidity_Set_Point,vertiv_pub
Reheat_Utilization,vertiv_pub
Return_Air_Temperature,vertiv_pub
Return_Humidity,vertiv_pub
Supply_Air_Temperature,vertiv_pub
Supply_Air_Temperature_Set_Point,vertiv_pub
Underflow_Static_Pressure,vertiv_pub
Alm_TY141,schneider_pub
PLC_PLC_Q101.Abilita_inverter,schneider_pub
PLC_PLC_Q101.Abilita_valvola1,schneider_pub
PLC_PLC_Q101.Abilita_valvola2,schneider_pub
PLC_PLC_Q101.Allarme_on,schneider_pub
PLC_PLC_Q101.Allarme_presente,schneider_pub
PLC_PLC_Q101.Alm_inverter_p101,schneider_pub
PLC_PLC_Q101.Alm_inverter_p102,schneider_pub
